problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,1,100,[0.47776895 0.9555379  0.9555379 ],0.6957322702691559,0.6994459780537756,8.98853852847081,8.913021721897598,0,94,31002,31800
DTLZ1,3,2,100,[0.46459405 0.11614851 0.        ],0.6826429616795978,0.6810511886710887,8.328754077337237,8.3256246542518,0,106,21774,31800
DTLZ1,3,3,100,[0.         0.         0.51724699],0.6233180946487998,0.5519053863108114,7.594354159052823,8.060921169500435,0,105,4566,31800
DTLZ1,3,4,100,[0.09834432 0.39337727 0.        ],0.5665724497051561,0.5665745996858508,8.309430420039766,8.311915408942069,0,106,18582,31800
DTLZ1,3,5,100,[3.16752782e-01 4.88086568e-02 2.22044605e-16],0.6298873674617212,0.6265256984299753,8.131259503246802,8.21289545906615,7,106,26328,31800
DTLZ1,3,6,100,[3.19637695e-01 5.16935697e-02 2.22044605e-16],0.6299198000640455,0.6295446327438987,8.114252570509185,8.388405031078474,92,105,32364,31800
DTLZ1,3,7,100,[3.15013185e-01 4.98358214e-02 2.22044605e-16],0.6296819562225844,0.6294805910944087,8.123080688320487,8.123536438482809,106,102,32400,31800
DTLZ2,3,1,100,[4.15657857e-17 0.00000000e+00 1.00139322e+00],0.008826791774671158,0.0066292904785948455,8.080234930607606,8.05968601331974,19,106,18654,31800
DTLZ2,3,2,100,[9.30363854e-19 9.77651844e-01 2.44412961e-01],0.06539234852459785,0.05816191059529587,8.306062909279431,8.470676207367955,40,106,23286,31800
DTLZ2,3,3,100,[3.75225615e-33 1.00013372e+00 0.00000000e+00],0.008737640295016832,0.007218404335905516,8.079662488239942,8.062335610538936,38,106,29856,31800
DTLZ2,3,4,100,[0.97773945 0.         0.24443486],0.06599270831669639,0.07017574048986941,8.32451008687148,8.30622561584771,30,105,17718,31800
DTLZ2,3,5,100,[0.65763484 0.65763484 0.32406758],0.04689483957765563,0.046739877176645794,8.704834885085615,8.766461059496999,68,104,20850,31800
DTLZ2,3,6,100,[0.6627415 0.6627415 0.3293612],0.04965127344362643,0.019239491513294134,8.707601521731883,8.874265732970834,87,105,32400,31800
DTLZ2,3,7,100,[0.66267335 0.66267335 0.3293212 ],0.0495090530097402,0.049024650807628994,8.656008948636225,8.774211391091299,87,104,32400,31800
DTLZ3,3,1,100,[2.00593187e-32 4.22495566e+00 2.81663710e+00],0.0060399457106789095,0.009718520705844363,8.80231923771759,8.807357585058794,0,105,27498,31800
DTLZ3,3,2,100,[2.00593187e-32 2.03158992e+00 0.00000000e+00],0.00887829533288631,0.02271844112803918,8.066340032108922,8.041963492292371,3,43,26490,31800
DTLZ3,3,3,100,[1.14963245 0.28740811 0.        ],0.06448778652895379,0.06630429012945395,8.311413215519263,8.522970347289379,22,105,25296,31800
DTLZ3,3,4,100,[2.00593187e-32 1.00793765e+00 0.00000000e+00],0.008909564190841126,0.006875017903855108,8.078853550380853,8.060120475386395,29,106,26550,31800
DTLZ3,3,5,100,[9.68815179e-01 2.36288216e-01 2.22044605e-16],0.060411065324072276,0.06444428340227466,8.213254098688429,8.227860926081405,54,102,11646,31800
DTLZ3,3,6,100,[9.69595748e-01 2.38983709e-01 2.22044605e-16],0.06048467943017334,0.0632411111259321,8.216640475487674,8.22978291309811,95,104,32394,31800
DTLZ3,3,7,100,[9.70464411e-01 2.40155348e-01 2.22044605e-16],0.06304050903818868,0.06764069065743397,8.219281293012715,8.234253423315243,98,98,32400,31800
DTLZ4,3,1,100,[1.12239564e-17 1.00079909e+00 0.00000000e+00],0.023128706724464994,0.00663847674117262,7.947149159516296,8.061244980434237,9,105,29100,31800
DTLZ4,3,2,100,[1.00104522 0.         0.        ],0.023220472333185443,0.006967393014909771,7.946650081862181,8.060308577428621,32,105,29232,31800
DTLZ4,3,3,100,[1.36194310e-18 0.00000000e+00 1.00007811e+00],0.00883351867913592,0.006266468931315586,8.079925741067735,8.061577043853774,35,106,27666,31800
DTLZ4,3,4,100,[0.33372662 0.66745324 0.66745324],0.05200957968702406,0.049279582971040466,8.919094711773434,8.851707421703486,89,104,26628,31800
DTLZ4,3,5,100,[0.22099949 0.82427633 0.22099949],0.010055973864938535,0.006853968165839604,8.453721522356798,8.49042003334593,66,105,27876,31800
DTLZ4,3,6,100,[0.2896191  0.89272541 0.2896191 ],0.02670467412641887,0.021661416544483603,8.548935959352583,8.642805684720493,78,104,31584,31800
DTLZ4,3,7,100,[0.29709855 0.90020486 0.29709855],0.03131189751744807,0.03554308679533225,8.557282115883867,8.640647069265771,74,106,32400,31800
DTLZ1,4,1,100,[0.         0.         0.90677496 3.62709985],0.5789379198124367,0.5689865269061954,,,0,120,23320,48000
DTLZ1,4,2,100,[0.         0.         0.34162181 0.22774788],0.7662854348787805,0.7488079971261641,,,2,120,36496,48000
DTLZ1,4,3,100,[0.         0.         0.44018501 0.11004625],0.7011100240227353,0.7008923807843487,,,85,120,46368,48000
DTLZ1,4,4,100,[0.         0.         0.50838606 0.        ],0.5588046524626582,0.5587512147933086,,,112,121,45464,48000
DTLZ1,4,5,100,[2.22044605e-16 2.22044605e-16 2.22148361e-01 1.34972035e-01],0.813189549696614,0.7994295084172249,,,118,121,44640,48000
DTLZ1,4,6,100,[2.22044605e-16 2.22044605e-16 2.11734760e-01 1.27126687e-01],0.8146119846614717,0.8075071166841425,,,122,117,49600,48000
