problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,1,100,[0.         4.67531193 3.11687462],0.7392991805960575,0.7331162312671623,8.78480425393851,9.020035721535475,2,105,23010,31800
DTLZ1,3,2,100,[0.         0.         2.21163317],0.5519478861303377,0.5518721434219548,8.07613755726923,8.059976019947658,1,105,12618,31800
DTLZ1,3,3,100,[0.        1.0227823 0.       ],0.5519215196487123,0.5519150969479761,8.063942914410294,8.060602465256467,0,105,18888,31800
DTLZ1,3,4,100,[0.         0.         0.50993851],0.551868458171341,0.5519110763972618,8.08303217550943,8.059161736914351,3,106,22770,31800
DTLZ1,3,5,100,[2.22044605e-16 3.69418863e-01 2.22044605e-16],0.5530151506147044,0.5531176230887517,8.02369431470679,8.031477162467244,12,106,21390,31800
DTLZ1,3,6,100,[2.22044605e-16 3.68189241e-01 2.22044605e-16],0.5529993499769604,0.552890008522016,8.023980591049607,8.031535406287851,40,105,32400,31800
DTLZ1,3,7,100,[2.22044605e-16 3.67317703e-01 2.22044605e-16],0.553023544848422,0.5530895504883846,8.024260897937674,8.031261242924357,68,104,32400,31800
DTLZ2,3,1,100,[1.00144272 0.         0.        ],0.008780909289867076,0.0059943259851222,8.079320318721287,8.059520736734655,18,106,27894,31800
DTLZ2,3,2,100,[2.42774248e-17 1.00038989e+00 0.00000000e+00],0.008807600460926907,0.006277214628085633,8.080239055281568,8.059960834171632,23,106,24906,31800
DTLZ2,3,3,100,[6.14680635e-18 0.00000000e+00 1.00005115e+00],0.008714024964628031,0.006993056808084716,8.080344122555802,8.061291585332205,26,105,23232,31800
DTLZ2,3,4,100,[0.66718373 0.66718373 0.33359186],0.0508875751420652,0.05144033006592664,8.924586884706482,8.996083616499023,76,106,18264,31800
DTLZ2,3,5,100,[5.07119287e-01 7.84536886e-01 2.22044605e-16],0.014474070460145245,0.002486088002282353,8.639249202206486,8.64664611092454,53,106,27534,31800
DTLZ2,3,6,100,[5.49064773e-01 8.26432524e-01 2.22044605e-16],0.006160653115865817,0.011585555898207856,8.622304995065656,8.638531808504155,69,106,32358,31800
DTLZ2,3,7,100,[5.49060613e-01 8.26426318e-01 2.22044605e-16],0.0062512812986630925,0.010971404806243062,8.622743849164864,8.635995665836,71,102,32400,31800
DTLZ3,3,1,100,[5.36104886e-32 6.23416093e+00 9.35124140e+00],0.01558355390331242,0.014988971152403096,8.741261806969328,8.852607921310643,0,105,18360,31800
DTLZ3,3,2,100,[0.35739641 0.71479282 0.71479282],0.022372507525058392,0.019126851693780297,9.093403656961412,8.994146154370942,0,106,22068,31800
DTLZ3,3,3,100,[4.06239689e-33 1.02353623e+00 0.00000000e+00],0.007875988927278754,0.006242741748266762,8.075878836008934,8.063786625334167,0,106,24588,31800
DTLZ3,3,4,100,[0.31584924 0.94754771 0.31584924],0.049200055119840505,0.022759209580669137,8.72894073381369,8.72469320684001,0,106,20988,31800
DTLZ3,3,5,100,[0.332527   0.67305679 0.67305679],0.049455152310773666,0.025085960871800757,8.740788387969094,8.89707264597197,7,105,23982,31800
DTLZ3,3,6,100,[0.32256254 0.65682085 0.65682085],0.021496735859731008,0.023578093165791465,8.919263996523526,8.870072452590065,51,105,32400,31800
DTLZ3,3,7,100,[0.33082149 0.6649348  0.6649348 ],0.022439459488429535,0.04970850403103552,8.961845276781535,8.764904408637928,89,105,32400,31800
DTLZ4,3,1,100,[1.00394762e+000 5.67976397e-229 0.00000000e+000],0.023046703994882213,0.006873662112562309,7.949522753384149,8.059721280167347,10,106,24012,31800
DTLZ4,3,2,100,[1.43917518e-17 8.32644872e-01 5.55096582e-01],0.005837407355892985,0.009785836166655244,8.780356436532545,8.833806648429317,40,105,19914,31800
DTLZ4,3,3,100,[1.43917518e-17 1.00021446e+00 0.00000000e+00],0.023217738955671197,0.0072516340547167015,7.94668726468759,8.059646221653646,33,106,29292,31800
DTLZ4,3,4,100,[7.27445359e-18 0.00000000e+00 1.00014259e+00],0.008788431532521854,0.006168593547643165,8.079481128384273,8.060952225621017,26,106,27480,31800
DTLZ4,3,5,100,[2.22044605e-16 8.27633340e-01 5.50241313e-01],0.006056528044292786,0.011654835805254716,8.625851544328926,8.59191375551946,25,100,17760,31800
DTLZ4,3,6,100,[2.22044605e-16 8.27530929e-01 5.50170789e-01],0.006060785071833615,0.01110825196173163,8.624768605771088,8.585249332124517,73,101,32400,31800
DTLZ4,3,7,100,[2.22044605e-16 8.27520361e-01 5.50163461e-01],0.006140690004129521,0.01111647859666607,8.622866738643266,8.63449279957179,74,97,32400,31800
DTLZ1,4,1,100,[0.        0.        7.1533605 0.       ],0.55892437809376,0.5589730846985936,,,0,95,35216,48000
DTLZ1,4,2,100,[0.         0.93791112 0.62527408 0.        ],0.7919236398242644,0.7564409204431566,,,0,120,8000,48000
DTLZ1,4,3,100,[0.         0.         0.         0.53670363],0.5588355990622604,0.558724930007987,,,0,120,27856,48000
DTLZ1,4,4,100,[0.        0.        0.5344449 0.       ],0.5587697503463003,0.5587210278910121,,,0,120,31744,48000
DTLZ1,4,5,100,[2.22044605e-16 2.29239782e-01 1.39052458e-01 2.22044605e-16],0.8147926401846288,0.8072702257521458,,,0,120,40928,48000
DTLZ1,4,6,100,[2.22044605e-16 2.23510211e-01 1.35839791e-01 2.22044605e-16],0.8022374246140747,0.799142620101352,,,87,120,49600,48000
DTLZ1,4,7,100,[2.22044605e-16 2.18987496e-01 1.33005732e-01 2.22044605e-16],0.8051694342159397,0.7989325948086312,,,108,121,49600,48000
DTLZ2,4,1,100,[1.57904737e-17 0.00000000e+00 9.78489672e-01 2.44622418e-01],0.08606218837502864,0.1005355285992862,,,90,120,43256,48000
DTLZ2,4,2,100,[4.04088597e-19 9.73334464e-01 0.00000000e+00 2.43333616e-01],0.08741798784906026,0.09001786573481817,,,80,120,39496,48000
DTLZ2,4,3,100,[1.59382076e-21 1.00338078e+00 0.00000000e+00 0.00000000e+00],0.00836432370660172,0.003348264416622696,,,78,118,44704,48000
DTLZ2,4,4,100,[0.98581137 0.         0.         0.24645284],0.09015845301207025,0.0915839696048427,,,21,119,3528,48000
DTLZ2,4,5,100,[2.22044605e-16 9.69813912e-01 2.22044605e-16 2.42081634e-01],0.0867320875078803,0.08965099983244763,,,58,117,33040,48000
DTLZ2,4,6,100,[2.22044605e-16 9.69536532e-01 2.22044605e-16 2.41906773e-01],0.08564057867050619,0.09244896915371192,,,98,109,49600,48000
DTLZ2,4,7,100,[2.22044605e-16 9.69536532e-01 2.22044605e-16 2.41906773e-01],0.08598332715766062,0.08827656734649969,,,92,115,49600,48000
DTLZ3,4,1,100,[7.59737219e-48 7.45220325e+00 0.00000000e+00 1.11783049e+01],0.03198417786017014,0.08148109913556792,,,0,106,43296,48000
DTLZ3,4,2,100,[7.59737219e-48 4.19980746e-01 8.39961491e-01 8.39961491e-01],0.02282622376487813,0.06450978740606932,,,0,121,42264,48000
DTLZ3,4,3,100,[7.59737219e-48 1.06849983e+00 0.00000000e+00 0.00000000e+00],0.012962205981174684,0.003660674460421626,,,0,120,23392,48000
DTLZ3,4,4,100,[0.61287413 0.         0.9193112  0.        ],0.03098711405142772,0.015292645955313369,,,0,120,36632,48000
DTLZ3,4,5,100,[2.22044605e-16 3.20412072e-01 6.57703671e-01 6.57703671e-01],0.03349786719043424,0.0349164668305073,,,13,121,30312,48000
DTLZ3,4,6,100,[2.22044605e-16 3.16163655e-01 6.52176251e-01 6.52176251e-01],0.034645597656048514,0.03223939998803037,,,118,120,49600,48000
DTLZ3,4,7,100,[2.22044605e-16 3.15254596e-01 6.51004273e-01 6.51004273e-01],0.03243409470458748,0.029453984091247148,,,122,119,49600,48000
DTLZ4,4,1,100,[3.75818602e-033 1.40160541e-179 1.00234346e+000 0.00000000e+000],0.008431709026282463,0.002885303585562454,,,47,121,45144,48000
DTLZ4,4,2,100,[6.53351724e-34 1.00033906e+00 0.00000000e+00 0.00000000e+00],0.054544867157497345,0.0029955442271063777,,,57,121,33000,48000
DTLZ4,4,3,100,[1.00019156 0.         0.         0.        ],0.0554724028261993,0.006948826658638294,,,58,121,36264,48000
DTLZ4,4,4,100,[0.90931557 0.30310519 0.30310519 0.        ],0.06318471943502771,0.0474208426968086,,,112,120,44456,48000
DTLZ4,4,5,100,[0.73296996 0.35443801 0.35443801 0.35443801],0.33985401116009273,0.3141986915799257,,,116,119,44632,48000
DTLZ4,4,6,100,[0.73113208 0.35302323 0.35302323 0.35302323],0.34424617978519334,0.31710499392019553,,,112,117,49600,48000
DTLZ4,4,7,100,[0.7292961  0.35118725 0.35118725 0.35118725],0.3014277984509346,0.3018739750311901,,,107,119,49600,48000
DTLZ1,5,1,100,[ 0.          0.          0.          0.         20.26642546],0.6151966183548484,0.5676313670979868,,,37,114,9530,63000
DTLZ1,5,2,100,[0.         0.         0.         2.70897255 4.06345883],0.6741480151064373,0.661707177309532,,,99,48,28420,63000
DTLZ1,5,3,100,[0.        0.        0.        4.2161634 0.       ],0.5633389510455769,0.5638709166906742,,,127,5,54850,63000
DTLZ1,5,4,100,[0.         0.         0.38738807 0.         1.54955228],0.5861810527704635,0.606748174163652,,,122,23,29900,63000
DTLZ1,5,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.25916106e-01
 2.21235422e-01]",0.6382637540761252,0.7192089367114721,,,130,126,53880,63000
DTLZ1,5,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.18842165e-01
 2.01501316e-01]",0.6372667611659429,0.8265686270850471,,,129,126,65980,63000
DTLZ1,5,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 1.14174095e-01
 1.95740226e-01]",0.635084630507501,0.6415730903964608,,,130,124,66000,63000
