problem,num_obj,iteration,num_gens,reference_point,preferred_ranges,iRVEA_RP_R_IGD,iRVEA_Ranges_R_IGD,iRVEA_RP_R_HV,iRVEA_Ranges_R_HV,iRVEA_RP_N_Ss,iRVEA_Ranges_N_Ss,iRVEA_RP_FEs,iRVEA_Ranges_FEs
DTLZ1,3,1,100,[0.19040434 0.61564632 1.17440528],"[[0.14880375 0.23200492]
 [0.57404574 0.65724691]
 [1.17440528 1.17440528]]",0.6027812450167419,0.6157863892438395,8.870029248379616,8.278095685374565,13,0,30978,28806
DTLZ1,3,2,100,[0.19040434 0.39311424 1.17440528],"[[0.16793632 0.21287235]
 [0.37064623 0.41558226]
 [1.17440528 1.17440528]]",0.5780245625802641,0.5815087517098986,8.660178381063005,8.16006656986498,12,1,31362,20646
DTLZ1,3,3,100,[0.01703535 0.06211677 1.17440528],"[[0.01703535 0.01703535]
 [0.06211677 0.06211677]
 [1.17440528 1.17440528]]",0.557126976796351,0.5578765810465097,8.03709012218795,7.988147660030804,67,0,27492,1530
DTLZ1,3,4,100,[0.08255136 0.33020545 0.10577362],"[[0.06963962 0.09546311]
 [0.3172937  0.34311719]
 [0.09286188 0.11868537]]",0.5984604590605396,0.5935755549917636,8.668727504046005,8.385687672052612,105,2,27516,28674
DTLZ1,3,5,100,[0.         0.06381503 0.35268269],"[[0.         0.        ]
 [0.03675702 0.09087304]
 [0.32562468 0.3797407 ]]",0.5571280715921082,0.5565692751645837,8.234189781739252,8.381543843367774,103,2,25632,18840
DTLZ1,3,6,100,[0.         0.04245984 0.3121807 ],"[[0.         0.        ]
 [0.0004289  0.08449078]
 [0.27014976 0.35421165]]",0.5574077151856863,0.55558323779351,8.124087281926222,8.459036527240867,105,7,32058,36582
DTLZ1,3,7,100,[0.         0.04613842 0.31585928],"[[0.         0.        ]
 [0.00778605 0.08449078]
 [0.27750692 0.35421165]]",0.558041673667367,0.5556669398610468,8.1232395532578,8.465445865367967,104,22,32394,38496
DTLZ2,3,1,100,[4.19995271e-17 4.53356423e-17 1.00927597e+00],"[[4.19995271e-17 4.19995271e-17]
 [4.53356423e-17 4.53356423e-17]
 [1.00927597e+00 1.00927597e+00]]",0.008978395471711292,0.0804079694096973,8.079877854316003,8.0,58,4,19008,1512
DTLZ2,3,2,100,[0.97268932 0.24317233 0.        ],"[[0.86818003 1.07719861]
 [0.13866304 0.34768162]
 [0.         0.10450929]]",0.06547374617783216,0.03116688752868919,8.32324044389166,8.581054811419076,67,44,18948,28668
DTLZ2,3,3,100,[1.00075914 0.         0.        ],"[[1.00075914 1.00075914]
 [0.         0.        ]
 [0.         0.        ]]",0.008734196692248892,0.08040796940969733,8.08017664757664,8.0,50,3,30048,1530
